selling_price,km_driven,fuel,seller_type,transmission,owner,seats,torque_rpm,Mileage,Engine,Max_Power
1425000,59000,Diesel,Dealer,Automatic,First Owner,5.0,2800,14.84,2143.0,170.0
265000,120000,Diesel,Individual,Manual,First Owner,5.0,3000,21.12,1248.0,88.8
190000,110000,Petrol,Individual,Manual,Third Owner,5.0,4000,20.36,1197.0,78.9
425000,60000,Diesel,Individual,Manual,First Owner,5.0,2750,21.27,1396.0,88.76
630000,147000,Diesel,Individual,Manual,Second Owner,5.0,2000,26.59,1248.0,74.0
600000,25000,Petrol,Individual,Manual,Third Owner,5.0,4000,18.16,1196.0,86.8
650000,30000,Petrol,Individual,Manual,First Owner,5.0,4000,21.4,1197.0,83.1
540000,40000,Diesel,Individual,Manual,First Owner,5.0,3000,22.0,1498.0,108.495
630000,135000,Diesel,Individual,Manual,First Owner,5.0,1750,25.1,1498.0,98.6
448000,30000,Petrol,Individual,Automatic,First Owner,5.0,3500,20.51,998.0,67.0
500000,80000,Diesel,Individual,Manual,First Owner,5.0,3000,21.66,1498.0,108.62
745000,70000,Diesel,Individual,Manual,First Owner,5.0,1750,24.3,1248.0,88.5
1025000,9850,Diesel,Individual,Automatic,First Owner,5.0,1750,24.3,1248.0,88.5
235000,60000,Petrol,Individual,Manual,Second Owner,5.0,4000,20.36,1197.0,78.9
630000,70000,Diesel,Individual,Manual,First Owner,5.0,2000,25.2,1248.0,74.0
1700000,78000,Diesel,Individual,Manual,Second Owner,7.0,3400,12.55,2982.0,168.5
450000,120000,Diesel,Individual,Manual,Second Owner,5.0,2000,22.9,1248.0,74.0
450000,120000,Petrol,Individual,Manual,Second Owner,7.0,4000,16.02,1373.0,93.7
450000,170000,Diesel,Individual,Manual,First Owner,5.0,2500,20.54,1598.0,103.6
1200000,140000,Diesel,Individual,Manual,First Owner,8.0,3600,12.99,2494.0,100.6
610000,90000,Diesel,Individual,Manual,First Owner,5.0,3250,22.77,1498.0,98.59
2500000,30000,Petrol,Individual,Automatic,Second Owner,5.0,4600,15.71,1998.0,189.0
484999,10000,Petrol,Dealer,Manual,First Owner,5.0,3500,23.1,998.0,67.04
275000,49000,Petrol,Dealer,Manual,First Owner,5.0,4000,19.02,1198.0,67.05
315000,32000,Petrol,Dealer,Manual,First Owner,5.0,3500,24.7,796.0,47.3
275000,38000,Petrol,Dealer,Manual,First Owner,5.0,3500,24.7,796.0,47.3
290000,28000,Petrol,Dealer,Manual,First Owner,5.0,9904,19.81,1086.0,68.05
280000,32000,Petrol,Dealer,Manual,First Owner,5.0,3000,14.0,796.0,35.0
225000,44000,LPG,Dealer,Manual,First Owner,5.0,3500,26.2,998.0,58.2
455000,42000,Petrol,Dealer,Manual,First Owner,5.0,3750,16.47,1198.0,74.0
351000,45000,Petrol,Dealer,Manual,Second Owner,5.0,9904,19.81,1086.0,68.05
535000,12000,Petrol,Dealer,Manual,Second Owner,5.0,3800,15.04,1598.0,103.6
175000,55500,Petrol,Dealer,Manual,First Owner,5.0,3500,18.2,998.0,67.1
525000,61500,Petrol,Dealer,Manual,First Owner,5.0,4000,18.5,1197.0,82.85
600000,150000,Diesel,Individual,Manual,First Owner,5.0,2000,26.59,1248.0,74.0
565000,72000,Petrol,Dealer,Automatic,First Owner,5.0,4000,19.1,1197.0,82.0
120000,68000,Petrol,Dealer,Manual,Third Owner,5.0,3000,19.7,796.0,46.3
725000,110000,Diesel,Individual,Manual,First Owner,5.0,2750,22.54,1396.0,88.73
185000,77000,Petrol,Dealer,Manual,Second Owner,5.0,3500,21.79,998.0,67.05
200000,100000,Diesel,Individual,Manual,Second Owner,5.0,3000,18.8,1248.0,90.0
615000,10000,Petrol,Individual,Manual,First Owner,5.0,4200,21.21,1197.0,81.8
270000,100000,Petrol,Individual,Manual,Third Owner,7.0,3000,15.37,1196.0,73.0
610000,35000,Petrol,Individual,Manual,First Owner,5.0,4000,21.4,1197.0,83.1
625000,70000,Diesel,Individual,Automatic,Second Owner,8.0,2800,11.79,2179.0,120.0
400000,5000,Petrol,Individual,Manual,Second Owner,5.0,4250,19.0,1194.0,94.68
866000,37800,Petrol,Individual,Manual,First Owner,5.0,4850,17.0,1591.0,121.3
700000,114000,Petrol,Individual,Manual,First Owner,5.0,4500,14.3,1798.0,160.0
300000,48000,Petrol,Individual,Manual,First Owner,5.0,3000,15.8,1172.0,65.0
1700000,32000,Diesel,Individual,Manual,First Owner,7.0,2800,15.1,2179.0,155.0
375000,100000,Diesel,Individual,Manual,First Owner,5.0,2500,19.09,1405.0,69.01
522000,150000,Diesel,Individual,Manual,Second Owner,5.0,2750,22.32,1582.0,126.32
451999,69000,Diesel,Individual,Manual,First Owner,5.0,2750,21.9,1396.0,88.76
300000,100000,Petrol,Individual,Manual,Second Owner,5.0,4000,14.53,1798.0,138.1
475000,13000,Petrol,Individual,Manual,First Owner,5.0,3500,21.63,998.0,67.04
780000,60000,Diesel,Individual,Manual,First Owner,5.0,1750,24.3,1248.0,88.5
595000,40000,Petrol,Individual,Manual,First Owner,5.0,4000,20.85,1197.0,83.14
440000,35000,Petrol,Individual,Manual,First Owner,5.0,3500,20.51,998.0,67.04
400000,70000,Diesel,Individual,Manual,Third Owner,5.0,1900,20.45,1461.0,83.8
1140000,50000,Diesel,Individual,Manual,First Owner,5.0,2750,19.67,1582.0,126.2
850000,76139,Diesel,Individual,Manual,First Owner,5.0,3250,23.0,1498.0,98.96
370000,175000,Diesel,Individual,Manual,Fourth & Above Owner,5.0,2000,19.3,1248.0,73.9
350000,25000,Petrol,Individual,Manual,First Owner,5.0,4250,23.01,999.0,67.0
360000,40000,Petrol,Individual,Manual,Second Owner,5.0,3500,23.1,998.0,67.04
105000,65000,Petrol,Individual,Manual,Fourth & Above Owner,5.0,3000,19.7,796.0,46.3
625000,90000,Diesel,Individual,Manual,Second Owner,7.0,1750,20.77,1248.0,88.76
135000,80000,Petrol,Individual,Manual,Second Owner,5.0,3000,17.92,1086.0,62.1
700000,110000,Diesel,Individual,Manual,Second Owner,7.0,1750,20.77,1248.0,88.76
690000,1303,Petrol,Dealer,Manual,First Owner,5.0,4500,17.8,1198.0,86.7
3975000,31800,Diesel,Dealer,Automatic,First Owner,5.0,3000,17.01,1968.0,188.0
5150000,20000,Petrol,Dealer,Automatic,First Owner,5.0,5200,22.37,2487.0,214.56
3200000,45000,Diesel,Dealer,Automatic,First Owner,5.0,2500,19.33,1999.0,177.0
4100000,17000,Petrol,Individual,Automatic,First Owner,5.0,4300,9.5,3604.0,280.0
4500000,21000,Diesel,Dealer,Automatic,First Owner,7.0,2250,12.83,1999.0,148.31
6000000,37000,Diesel,Dealer,Automatic,First Owner,5.0,2400,13.5,2987.0,254.79
3790000,29500,Diesel,Dealer,Automatic,First Owner,5.0,2500,22.48,1995.0,187.74
5800000,7500,Diesel,Dealer,Automatic,First Owner,5.0,2500,16.78,1995.0,190.0
1864999,50000,Petrol,Dealer,Automatic,First Owner,5.0,5000,14.67,1798.0,177.46
2700000,35000,Diesel,Dealer,Automatic,First Owner,5.0,1800,15.0,2143.0,204.0
1750000,19000,Petrol,Dealer,Automatic,First Owner,5.0,3600,13.96,1451.0,141.0
795000,41000,Petrol,Dealer,Automatic,First Owner,5.0,4600,18.0,1497.0,117.6
625000,39000,Petrol,Dealer,Automatic,First Owner,5.0,4000,14.28,1798.0,138.03
3400000,22000,Diesel,Dealer,Automatic,First Owner,5.0,400,18.0,1969.0,190.0
2650000,53000,Diesel,Dealer,Automatic,First Owner,7.0,2750,12.07,2967.0,241.4
535000,40000,Diesel,Dealer,Manual,First Owner,5.0,1750,26.21,1248.0,88.5
5850000,47000,Diesel,Dealer,Automatic,First Owner,5.0,1600,13.5,2987.0,282.0
975000,72200,Petrol,Dealer,Automatic,Second Owner,5.0,2750,10.8,2497.0,150.0
805000,49900,Petrol,Dealer,Manual,First Owner,5.0,4700,16.3,1797.0,147.5
2625000,9000,Diesel,Dealer,Automatic,First Owner,5.0,2500,13.6,1999.0,177.0
811000,11000,Petrol,Dealer,Manual,First Owner,5.0,4000,17.0,1198.0,108.5
375000,49000,Petrol,Individual,Manual,First Owner,5.0,3800,15.04,1598.0,103.6
550000,95000,Petrol,Individual,Manual,First Owner,5.0,4700,16.3,1797.0,147.5
645000,11000,Petrol,Dealer,Automatic,First Owner,5.0,3800,14.3,1598.0,103.5
2550000,18000,Petrol,Dealer,Automatic,First Owner,5.0,4000,15.04,1991.0,183.0
599000,46100,Petrol,Dealer,Manual,First Owner,7.0,4000,16.02,1373.0,93.7
2700000,16000,Petrol,Dealer,Automatic,First Owner,5.0,1400,14.74,1991.0,181.04
875000,18000,Petrol,Dealer,Automatic,First Owner,5.0,4800,15.6,1497.0,116.3
894999,9654,Petrol,Dealer,Automatic,First Owner,5.0,4200,19.56,1197.0,81.8
175000,11000,Petrol,Dealer,Manual,First Owner,5.0,3500,23.95,998.0,67.05
340000,24300,Petrol,Dealer,Manual,First Owner,5.0,4200,21.21,1197.0,81.8
1525000,42163,Diesel,Dealer,Automatic,Second Owner,7.0,3400,11.36,2755.0,171.5
1025000,8000,Diesel,Dealer,Automatic,First Owner,5.0,2750,21.5,1497.0,108.5
2150000,30000,Diesel,Dealer,Automatic,First Owner,5.0,2500,22.69,1995.0,190.0
1900000,41000,Petrol,Dealer,Automatic,First Owner,5.0,4500,19.16,2494.0,157.7
2900000,12000,Diesel,Dealer,Automatic,First Owner,5.0,2500,18.12,1995.0,190.0
450000,71000,Petrol,Dealer,Automatic,First Owner,5.0,4000,12.1,2362.0,164.7
850000,20000,Petrol,Individual,Manual,First Owner,7.0,4000,17.5,1373.0,91.1
10000000,30000,Petrol,Individual,Automatic,First Owner,4.0,1740,42.0,1969.0,400.0
300000,100000,Diesel,Individual,Manual,Second Owner,5.0,2500,20.54,1598.0,103.6
575000,9500,Petrol,Individual,Manual,First Owner,5.0,4000,18.16,1196.0,86.8
160000,120000,Diesel,Individual,Manual,First Owner,5.0,2000,20.0,1399.0,68.0
515000,36600,Petrol,Individual,Manual,First Owner,5.0,4200,20.4,1197.0,81.8
390000,50000,Petrol,Individual,Automatic,Second Owner,5.0,3500,20.51,998.0,67.0
550000,14000,Petrol,Individual,Manual,Second Owner,5.0,4000,18.6,1197.0,81.83
40000,40000,Petrol,Individual,Manual,Second Owner,4.0,2500,16.1,796.0,37.0
220000,120000,Diesel,Individual,Manual,First Owner,5.0,4500,21.1,1248.0,73.9
425000,70000,Petrol,Individual,Manual,First Owner,5.0,4000,18.9,1197.0,82.0
480000,13000,Petrol,Individual,Manual,First Owner,5.0,4300,19.44,999.0,75.0
400000,60000,Petrol,Individual,Manual,Second Owner,5.0,4000,18.9,1197.0,82.0
487000,35000,Petrol,Individual,Manual,First Owner,5.0,4000,19.1,1197.0,85.8
386000,44000,Petrol,Individual,Manual,Second Owner,5.0,4000,19.1,1197.0,82.0
100000,120000,Petrol,Individual,Manual,Second Owner,5.0,4600,13.0,1493.0,100.0
300000,60000,Diesel,Individual,Manual,First Owner,5.0,2800,21.43,1364.0,87.2
100000,60000,Petrol,Individual,Manual,First Owner,5.0,3500,18.5,796.0,53.0
1750000,30000,Diesel,Individual,Manual,Second Owner,7.0,3400,13.0,2982.0,168.5
450000,15000,Petrol,Individual,Manual,Second Owner,6.0,3600,18.15,1198.0,82.0
490000,90000,Diesel,Individual,Manual,First Owner,5.0,3000,22.95,1248.0,74.0
345000,47000,Petrol,Individual,Manual,Second Owner,5.0,4800,17.0,1497.0,118.0
85000,90000,Petrol,Individual,Manual,First Owner,5.0,4500,17.3,993.0,60.0
215000,120600,Petrol,Individual,Manual,Second Owner,5.0,3500,18.9,998.0,67.1
320000,100000,Petrol,Individual,Manual,Third Owner,5.0,3000,16.2,1599.0,103.2
459999,60000,Petrol,Individual,Manual,Second Owner,5.0,4000,20.85,1197.0,83.14
65000,86000,Petrol,Individual,Manual,First Owner,5.0,3200,15.3,1341.0,83.0
720000,5000,Petrol,Individual,Manual,First Owner,5.0,4000,18.6,1197.0,81.86
800000,37000,Diesel,Individual,Manual,First Owner,5.0,1750,28.09,1248.0,88.5
520000,14000,Petrol,Individual,Manual,First Owner,5.0,3500,20.3,1199.0,84.0
580000,70000,Diesel,Individual,Manual,First Owner,7.0,1750,20.77,1248.0,88.76
600000,50000,Petrol,Individual,Manual,First Owner,5.0,4600,17.4,1497.0,117.3
290000,60000,Petrol,Individual,Manual,Second Owner,5.0,4500,19.4,1198.0,86.8
360000,50000,CNG,Individual,Manual,First Owner,5.0,3500,26.6,998.0,58.16
550000,50000,Petrol,Individual,Manual,First Owner,5.0,4000,20.85,1197.0,83.14
375000,70000,Petrol,Individual,Manual,First Owner,5.0,4000,18.5,1197.0,82.85
420000,35000,Petrol,Individual,Automatic,First Owner,5.0,3500,20.51,998.0,67.0
550000,20000,Petrol,Individual,Manual,First Owner,5.0,4200,21.21,1197.0,81.8
270000,20000,Petrol,Individual,Manual,First Owner,5.0,3500,24.7,796.0,47.3
700000,7800,Petrol,Individual,Automatic,First Owner,5.0,4200,22.0,1197.0,81.8
500000,20000,Petrol,Individual,Manual,First Owner,5.0,4200,20.4,1197.0,81.8
1250000,15000,Diesel,Individual,Manual,First Owner,7.0,3000,17.6,2179.0,147.94
320000,31377,Petrol,Individual,Manual,Second Owner,5.0,4000,18.5,1197.0,82.85
700000,50000,Diesel,Individual,Manual,First Owner,5.0,2000,28.4,1248.0,74.02
290000,60000,Petrol,Individual,Manual,First Owner,5.0,3500,20.51,998.0,67.04
550000,100000,Petrol,Individual,Automatic,First Owner,5.0,4000,14.53,1794.0,138.1
265000,60000,Petrol,Individual,Manual,First Owner,5.0,4500,19.4,1198.0,86.8
830000,5000,Petrol,Individual,Automatic,First Owner,5.0,4000,21.4,1197.0,83.1
800000,60000,Diesel,Individual,Manual,First Owner,7.0,3000,14.1,2179.0,147.94
160000,25000,Petrol,Individual,Manual,Second Owner,5.0,3000,19.7,796.0,46.3
335000,30000,Petrol,Individual,Manual,First Owner,5.0,4386,25.17,799.0,53.3
329000,80000,Petrol,Individual,Manual,Second Owner,5.0,4000,20.63,1198.0,67.0
775000,75000,Diesel,Individual,Manual,First Owner,5.0,1750,24.3,1248.0,88.5
524000,32000,Petrol,Individual,Manual,First Owner,5.0,11375,20.14,1197.0,81.86
245000,40000,Petrol,Individual,Manual,First Owner,5.0,3500,22.74,796.0,47.3
275000,93000,Petrol,Individual,Manual,Second Owner,5.0,4000,17.0,1197.0,80.0
520000,60000,Petrol,Individual,Manual,First Owner,5.0,4000,17.57,1193.0,88.7
550000,37000,Petrol,Individual,Manual,First Owner,5.0,4000,16.95,1498.0,97.7
910000,15000,Petrol,Individual,Manual,First Owner,5.0,4500,17.0,1497.0,121.36
300000,80000,Petrol,Individual,Manual,First Owner,5.0,4000,19.49,1198.0,67.04
350000,140000,Petrol,Individual,Manual,First Owner,5.0,3500,20.51,998.0,67.04
900000,70000,Diesel,Individual,Manual,First Owner,7.0,3250,12.83,2696.0,162.0
300000,120000,Diesel,Individual,Manual,Second Owner,7.0,2800,17.21,1493.0,100.0
250000,110000,Diesel,Individual,Manual,Second Owner,5.0,2000,21.1,1248.0,73.9
1100000,37000,Diesel,Individual,Manual,First Owner,5.0,2750,19.67,1582.0,126.2
270000,44000,Petrol,Individual,Manual,First Owner,5.0,4386,25.17,799.0,53.3
640000,80000,Diesel,Individual,Manual,First Owner,7.0,1750,20.77,1248.0,88.76
650000,125000,Diesel,Individual,Manual,First Owner,7.0,2800,15.1,2179.0,140.0
409999,13500,Petrol,Individual,Manual,First Owner,5.0,3000,15.37,1196.0,73.0
165000,75000,Petrol,Individual,Manual,First Owner,5.0,3000,17.92,1086.0,62.1
80000,120000,Petrol,Individual,Manual,Second Owner,5.0,3500,13.2,1495.0,94.0
535000,120000,Diesel,Individual,Manual,First Owner,7.0,2800,15.1,2179.0,140.0
700000,70000,Diesel,Individual,Manual,First Owner,7.0,3400,12.99,2494.0,100.57
550000,70000,Diesel,Individual,Manual,First Owner,5.0,2000,23.4,1248.0,74.0
680000,15000,Petrol,Individual,Automatic,First Owner,5.0,4800,19.0,1199.0,88.76
200000,53000,Petrol,Individual,Manual,Second Owner,5.0,4000,20.36,1197.0,78.9
500000,120000,Diesel,Individual,Manual,Second Owner,5.0,2000,23.4,1248.0,74.0
1000000,70000,Diesel,Individual,Manual,First Owner,7.0,1750,24.52,1248.0,88.5
110000,120000,Petrol,Individual,Manual,Second Owner,5.0,3200,14.2,1341.0,82.9
320000,100000,Petrol,Individual,Manual,Second Owner,5.0,4000,18.5,1197.0,80.0
350000,100000,Petrol,Individual,Manual,First Owner,5.0,4200,20.4,1197.0,83.11
170000,162500,Diesel,Individual,Manual,First Owner,5.0,2500,19.4,1405.0,70.0
800000,39000,Diesel,Individual,Manual,First Owner,5.0,2750,22.54,1396.0,88.73
500000,75000,Diesel,Individual,Manual,First Owner,5.0,2000,26.8,1248.0,74.0
1380000,50000,Diesel,Individual,Automatic,First Owner,7.0,2500,17.6,2179.0,153.86
1300000,40000,Diesel,Individual,Manual,First Owner,8.0,2500,17.3,1497.0,121.0
530000,92500,Diesel,Individual,Manual,First Owner,5.0,2750,22.32,1582.0,126.3
360000,158000,Diesel,Individual,Manual,First Owner,5.0,2000,23.4,1248.0,74.0
310000,120000,Diesel,Individual,Manual,First Owner,5.0,2000,19.3,1248.0,73.9
725000,50000,Diesel,Individual,Manual,Second Owner,5.0,1750,26.0,1498.0,98.6
340000,110000,Diesel,Individual,Manual,First Owner,5.0,2000,19.3,1248.0,73.9
550000,2000,Diesel,Individual,Manual,Second Owner,5.0,19025,25.4,1186.0,73.97
1150000,181000,Diesel,Individual,Manual,Second Owner,7.0,3400,11.5,2982.0,171.0
380000,70000,Diesel,Individual,Manual,First Owner,5.0,3000,27.28,1047.0,69.0
350000,90000,Petrol,Individual,Automatic,Second Owner,5.0,4000,17.97,1498.0,99.6
610000,2000,Petrol,Individual,Manual,First Owner,5.0,4000,18.6,1197.0,81.86
525000,20000,Petrol,Individual,Manual,First Owner,5.0,4000,20.85,1197.0,83.14
480000,120000,Diesel,Individual,Manual,First Owner,7.0,3400,12.8,2494.0,102.0
780000,35000,Diesel,Individual,Manual,First Owner,6.0,2000,16.55,2498.0,105.0
320000,193000,Diesel,Individual,Manual,First Owner,5.0,2000,19.3,1248.0,73.9
375000,80000,Petrol,Individual,Manual,First Owner,5.0,4200,20.4,1197.0,81.8
300000,40000,Petrol,Individual,Manual,First Owner,5.0,4000,19.02,1198.0,67.05
500000,70000,Diesel,Individual,Manual,Fourth & Above Owner,5.0,2750,22.54,1396.0,88.73
404000,122358,Diesel,Individual,Manual,First Owner,9.0,2800,12.05,2179.0,120.0
500000,75000,Diesel,Individual,Manual,First Owner,7.0,2200,14.07,2956.0,69.01
350000,120000,Diesel,Individual,Manual,First Owner,5.0,3000,27.28,1047.0,69.0
380000,40000,Petrol,Individual,Manual,First Owner,5.0,4000,17.57,1193.0,88.7
114999,95200,Petrol,Individual,Manual,Third Owner,5.0,3500,13.2,1495.0,94.0
335000,33033,Petrol,Dealer,Manual,First Owner,5.0,4500,19.4,1198.0,86.8
465000,63063,Petrol,Dealer,Automatic,First Owner,5.0,4000,18.9,1197.0,82.0
290000,60000,Diesel,Individual,Manual,First Owner,5.0,3000,21.02,1248.0,88.76
110000,45000,Petrol,Individual,Manual,Second Owner,5.0,3000,19.7,796.0,46.3
450000,80000,Diesel,Individual,Manual,Third Owner,7.0,2700,11.57,2179.0,138.1
400000,170000,Diesel,Individual,Manual,Second Owner,7.0,1500,13.6,2523.0,63.0
210000,207890,Diesel,Individual,Manual,Second Owner,7.0,1500,13.6,2523.0,63.0
4600000,7976,Diesel,Individual,Automatic,First Owner,5.0,2800,17.9,2143.0,170.0
220000,35000,Petrol,Individual,Manual,First Owner,8.0,2500,16.8,796.0,34.2
450000,35000,Petrol,Individual,Manual,First Owner,5.0,4000,18.9,1197.0,82.0
450000,35000,Petrol,Individual,Manual,First Owner,5.0,4000,18.9,1197.0,82.0
290000,50000,Petrol,Individual,Automatic,First Owner,5.0,4000,16.95,1197.0,78.9
520000,20000,Petrol,Individual,Manual,First Owner,5.0,4200,20.4,1197.0,81.8
265000,20000,Petrol,Individual,Automatic,First Owner,5.0,4000,16.95,1197.0,78.9
330000,50000,Petrol,Individual,Manual,Second Owner,5.0,4000,18.6,1197.0,85.8
330000,50000,Petrol,Individual,Manual,Second Owner,5.0,4000,18.6,1197.0,85.8
509999,120000,Diesel,Individual,Manual,First Owner,7.0,2200,15.96,2523.0,62.1
500000,70000,Petrol,Individual,Manual,First Owner,5.0,4200,17.1,1591.0,121.3
525000,50000,Petrol,Individual,Manual,First Owner,5.0,11473,17.19,1197.0,81.86
675000,16500,Petrol,Individual,Manual,First Owner,5.0,4200,21.01,1197.0,81.8
300000,70000,Petrol,Individual,Manual,First Owner,5.0,4000,17.0,1197.0,80.0
90000,99361,Petrol,Individual,Manual,Second Owner,5.0,3000,19.7,796.0,46.3
650000,25000,Diesel,Individual,Manual,First Owner,5.0,2000,26.59,1248.0,74.0
409000,70000,Petrol,Individual,Manual,Second Owner,5.0,4000,19.1,1197.0,85.8
395000,80000,Diesel,Individual,Manual,Second Owner,5.0,2750,24.0,1120.0,70.0
400000,70000,Petrol,Individual,Manual,Second Owner,5.0,4000,19.1,1197.0,85.8
120000,60000,Petrol,Individual,Manual,Third Owner,5.0,4400,18.6,1199.0,79.4
645000,10000,Petrol,Individual,Automatic,First Owner,5.0,3500,20.3,1199.0,84.0
81000,80000,Petrol,Individual,Manual,First Owner,4.0,2500,16.1,796.0,37.0
1300000,30000,Diesel,Individual,Manual,First Owner,5.0,1750,25.6,1498.0,97.9
1250000,33000,Diesel,Individual,Manual,First Owner,5.0,1750,25.6,1498.0,97.9
535000,90000,Petrol,Individual,Manual,Third Owner,7.0,4000,16.02,1373.0,93.7
555000,80100,Diesel,Individual,Manual,Second Owner,5.0,2250,19.01,1461.0,108.5
725000,120000,Petrol,Individual,Manual,First Owner,5.0,4600,17.4,1497.0,117.3
229999,40000,Petrol,Individual,Manual,First Owner,5.0,4386,25.17,799.0,53.3
800000,160000,Diesel,Individual,Manual,Second Owner,8.0,3600,12.99,2494.0,100.6
409999,47000,Petrol,Individual,Manual,First Owner,5.0,3500,20.51,998.0,67.04
1210000,25000,Diesel,Individual,Manual,First Owner,5.0,2750,21.38,1396.0,88.7
400000,26000,Petrol,Individual,Manual,First Owner,5.0,3500,23.84,1199.0,84.0
